Date,Value,Close,log,forecast
1988-12-23,3.77,3.77,-0.005291017634415548,
1988-12-26,3.8,3.8,0.007926065272420723,
1988-12-27,3.77,3.77,-0.007926065272420603,
1988-12-28,3.74,3.74,-0.00798939003347875,
1988-12-29,3.71,3.71,-0.008053734807096827,
1988-12-30,3.74,3.74,0.008053734807096823,
1989-01-02,3.77,3.77,0.007989390033478861,
1989-01-03,3.87,3.87,0.026179505581771078,
1989-01-04,3.88,3.88,0.0025806465934914914,
1989-01-05,3.86,3.86,-0.005167970158442561,
1989-01-06,3.83,3.83,-0.007802380284184787,
1989-01-09,3.84,3.84,0.0026075634070807695,
1989-01-10,3.84,3.84,0.0,
1989-01-11,3.87,3.87,0.007782140442054949,
1989-01-12,3.87,3.87,0.0,
1989-01-13,3.87,3.87,0.0,
1989-01-16,3.85,3.85,-0.005181358741997629,
1989-01-17,3.81,3.81,-0.010443959161083262,
1989-01-18,3.82,3.82,0.0026212334798740656,
1989-01-19,3.79,3.79,-0.007884403524148759,
1989-01-20,3.78,3.78,-0.0026420094628386965,
1989-01-23,3.75,3.75,-0.007968169649176845,
1989-01-24,3.72,3.72,-0.008032171697264154,
1989-01-25,3.72,3.72,0.0,
1989-01-26,3.75,3.75,0.008032171697264253,
1989-01-27,3.78,3.78,0.007968169649176881,
1989-01-30,3.8,3.8,0.005277057100843819,
1989-01-31,3.8,3.8,0.0,
1989-02-01,3.8,3.8,0.0,
1989-02-02,3.81,3.81,0.00262812240626963,
1989-02-03,3.84,3.84,0.007843177461025879,
1989-02-06,3.88,3.88,0.010362787035546658,
1989-02-07,3.91,3.91,0.007702220362092303,
1989-02-08,3.9,3.9,-0.002560820861673704,
1989-02-09,3.9,3.9,0.0,
1989-02-10,3.89,3.89,-0.0025673955052458097,
1989-02-13,3.9,3.9,0.0025673955052457334,
1989-02-14,3.92,3.92,0.005115100666770409,
1989-02-15,3.93,3.93,0.002547772078798783,
1989-02-16,3.93,3.93,0.0,
1989-02-17,3.93,3.93,0.0,
1989-02-20,3.98,3.98,0.012642393415176527,
1989-02-21,4.02,4.02,0.010000083334583179,
1989-02-22,4.06,4.06,0.009901070982711537,
1989-02-23,4.12,4.12,0.01467018974779384,
1989-02-24,4.25,4.25,0.031065819574890317,
1989-02-27,4.51,4.51,0.0593781705782614,
1989-02-28,4.87,4.87,0.07679678357991145,
1989-03-01,5.26,5.26,0.07703708965511999,
1989-03-02,5.43,5.43,0.03180810719622547,
1989-03-03,5.05,5.05,-0.07255089065857553,
1989-03-06,4.74,4.74,-0.06335110758028327,
1989-03-07,4.71,4.71,-0.00634922767865878,
1989-03-08,4.95,4.95,0.04969966855227254,
1989-03-09,4.88,4.88,-0.014242356715543216,
1989-03-10,4.89,4.89,0.002047083621724823,
1989-03-13,4.74,4.74,-0.031155167779795462,
1989-03-14,4.67,4.67,-0.014878064026179225,
1989-03-15,4.62,4.62,-0.01076436658715843,
1989-03-16,4.7,4.7,0.017167803622365498,
1989-03-17,4.7,4.7,0.0,
1989-03-20,4.7,4.7,0.0,
1989-03-21,4.56,4.56,-0.03023988518971835,
1989-03-22,4.51,4.51,-0.01102547001170771,
1989-03-23,4.57,4.57,0.013216051391526462,
1989-03-24,4.63,4.63,0.013043663192029398,
1989-03-27,4.44,4.44,-0.04190249165400922,
1989-03-28,4.59,4.59,0.033225647628320386,
1989-03-29,4.59,4.59,0.0,
1989-03-30,4.58,4.58,-0.0021810259463601145,
1989-03-31,4.66,4.66,0.017316450011460958,
1989-04-03,4.68,4.68,0.004282661792000728,
1989-04-04,4.63,4.63,-0.010741241831412625,
1989-04-05,4.66,4.66,0.006458580039411949,
1989-04-06,4.66,4.66,0.0,
1989-04-07,4.69,4.69,0.006417134320633509,
1989-04-10,4.74,4.74,0.010604553248797067,
1989-04-11,4.76,4.76,0.004210532536343458,
1989-04-12,4.71,4.71,-0.010559760215002217,
1989-04-13,4.82,4.82,0.02308602003418255,
1989-04-14,4.89,4.89,0.01441837542427167,
1989-04-17,5.02,5.02,0.026237630216857093,
1989-04-18,5.12,5.12,0.019724505347778788,
1989-04-19,5.08,5.08,-0.007843177461025893,
1989-04-20,5.07,5.07,-0.001970443987298725,
1989-04-21,5.12,5.12,0.00981362144832467,
1989-04-24,5.13,5.13,0.0019512201312617493,
1989-04-25,5.24,5.24,0.02121583915027279,
1989-04-26,5.35,5.35,0.02077506257496423,
1989-04-27,5.36,5.36,0.0018674141747954624,
1989-04-28,5.34,5.34,-0.0037383221106072153,
1989-05-01,5.4,5.4,0.011173300598125255,
1989-05-02,5.49,5.49,0.016529301951210506,
1989-05-03,5.55,5.55,0.010869672236903891,
1989-05-04,5.62,5.62,0.012533736147256657,
1989-05-05,5.61,5.61,-0.0017809443709946974,
1989-05-09,5.67,5.67,0.010638398205055577,
1989-05-10,5.76,5.76,0.015748356968139112,
1989-05-11,5.94,5.94,0.030771658666753687,
1989-05-12,6.13,6.13,0.031485616573566494,
1989-05-15,6.49,6.49,0.05706778076787855,
1989-05-16,6.77,6.77,0.04223855620818491,
1989-05-17,6.51,6.51,-0.03916163070370577,
1989-05-18,6.25,6.25,-0.040757992472167756,
1989-05-22,6.09,6.09,-0.025933382026504543,
1989-05-23,6.35,6.35,0.04180673118279457,
1989-05-24,6.49,6.49,0.021807717811398484,
1989-05-25,6.55,6.55,0.00920251893116192,
1989-05-26,6.6,6.6,0.0076045993852192125,
1989-05-29,6.62,6.62,0.0030257209165371114,
1989-05-30,6.62,6.62,0.0,
1989-05-31,6.54,6.54,-0.012158204479809519,
1989-06-01,6.5,6.5,-0.006134988567515944,
1989-06-02,6.6,6.6,0.01526747213078838,
1989-06-05,6.63,6.63,0.004535155165391363,
1989-06-06,6.64,6.64,0.0015071592905713386,
1989-06-07,6.71,6.71,0.010486987495248071,
1989-06-08,6.83,6.83,0.01772572259910837,
1989-06-09,6.89,6.89,0.008746411442868453,
1989-06-12,6.99,6.99,0.014409471220151784,
1989-06-13,7.16,7.16,0.02402942472683526,
1989-06-14,7.35,7.35,0.026190332252191074,
1989-06-15,7.65,7.65,0.040005334613699206,
1989-06-16,7.57,7.57,-0.010512580389087024,
1989-06-19,8.08,8.08,0.06519880508364663,
1989-06-20,8.38,8.38,0.036456041960987694,
1989-06-21,8.17,8.17,-0.025379005622080293,
1989-06-22,8.04,8.04,-0.016039825681036637,
1989-06-23,7.87,7.87,-0.021371020761563074,
1989-06-26,7.95,7.95,0.010113866236928759,
1989-06-27,8.15,8.15,0.024845998586530804,
1989-06-28,8.37,8.37,0.02663595724861246,
1989-06-29,8.1,8.1,-0.03278982282299084,
1989-06-30,7.96,7.96,-0.017435061822101423,
1989-07-03,7.83,7.83,-0.016466489853579843,
1989-07-04,7.88,7.88,0.006365393867075931,
1989-07-05,8.01,8.01,0.016362857210480062,
1989-07-06,7.89,7.89,-0.015094626222485016,
1989-07-07,7.84,7.84,-0.006357300495466412,
1989-07-10,7.99,7.99,0.01895192541586691,
1989-07-11,7.88,7.88,-0.013862855908395621,
1989-07-12,8.02,8.02,0.01761051800863537,
1989-07-17,7.98,7.98,-0.0050000104167056405,
1989-07-18,7.88,7.88,-0.012610507591929696,
1989-07-19,7.83,7.83,-0.006365393867075959,
1989-07-20,7.67,7.67,-0.020645894623546903,
1989-07-21,7.76,7.76,0.011665718815962635,
1989-07-24,7.78,7.78,0.0025740039951728426,
1989-07-25,7.62,7.62,-0.02077996849174531,
1989-07-26,7.37,7.37,-0.03335866349730965,
1989-07-27,7.28,7.28,-0.012286843992650578,
1989-07-28,7.17,7.17,-0.015225207597065669,
1989-07-31,7.01,7.01,-0.022567953565030326,
1989-08-01,6.58,6.58,-0.0633029557092729,
1989-08-02,6.68,6.68,0.0150832422113285,
1989-08-03,6.82,6.82,0.020741484306816372,
1989-08-04,7.21,7.21,0.05560947944148693,
1989-08-07,7.23,7.23,0.0027700848738156096,
1989-08-08,7.19,7.19,-0.005547864437717979,
1989-08-09,7.74,7.74,0.07371051586868038,
1989-08-10,7.89,7.89,0.01919444725614716,
1989-08-11,7.8,7.8,-0.011472401162236807,
1989-08-14,7.93,7.93,0.016529301951210506,
1989-08-15,8.0,8.0,0.008788506033079338,
1989-08-16,7.75,7.75,-0.0317486983145803,
1989-08-17,7.68,7.68,-0.00907329620567483,
1989-08-18,7.72,7.72,0.00519481687710393,
1989-08-21,7.71,7.71,-0.0012961764614466856,
1989-08-22,7.81,7.81,0.01288677627635643,
1989-08-23,7.91,7.91,0.01272281792796797,
1989-08-24,8.09,8.09,0.02250094929083782,
1989-08-25,8.09,8.09,0.0,
